Subject / Topic,Complexity (1-10),Relevance (1-10),Study Time (mins),Learning Method,Stress Level,Sleep Hours,Recall Score (1hr),Recall Score (1day),Recall Score (1week),Days Since Learning,Forgetfulness Probability (%)
Genetics,8,10,112,Video,4,8.7,10.0,10.0,9.6,27,6.9
Biochemistry,8,10,107,Video,10,7.7,10.0,8.8,7.4,29,28.3
Microbiology,8,9,106,Video,6,8.2,10.0,10.0,8.6,30,4.7
Epigenetics,8,9,109,Video,9,5.9,10.0,10.0,9.7,15,0.0
Cybersecurity,8,9,104,Practical,6,7.7,10.0,10.0,8.7,9,11.6
Cryptography,8,10,107,Video,10,7.4,10.0,10.0,8.7,25,11.5
Network Security,8,10,104,Video,9,7.1,10.0,10.0,9.0,26,4.0
Ethical Hacking,8,9,119,Video,7,7.6,10.0,9.8,9.2,11,9.9
Digital Forensics,8,9,110,Practical,10,7.0,10.0,9.7,8.4,16,17.3
Virtual Reality,8,9,106,Practical,8,6.8,10.0,9.9,9.0,23,9.0
Augmented Reality,8,9,111,Practical,9,7.0,10.0,9.7,8.5,21,11.2
Metaverse,8,9,109,Video,6,7.6,10.0,10.0,8.3,29,22.2
HCI,8,9,108,Audio,8,7.1,10.0,10.0,8.9,14,19.3
Gaming,8,9,113,Video,10,6.9,10.0,10.0,9.3,21,4.6
Nanotechnology,8,10,113,Video,10,6.0,10.0,9.7,8.8,27,8.9
3D Printing,8,10,107,Audio,9,7.4,10.0,9.8,9.0,20,12.5
Edge Computing,8,9,107,Video,7,7.2,10.0,10.0,8.9,26,9.2
Smart Cities,8,9,108,Video,8,7.2,10.0,9.7,8.9,13,10.3
Wearable Tech,8,9,98,Video,8,6.4,10.0,10.0,9.1,27,12.7
Compiler Design - Theory,8,5,120,Text,6,8.4,10.0,10.0,9.6,10,0.0
Astrophysics - Advanced,5,9,81,Video,7,7.6,10.0,10.0,9.0,8,6.7
Molecular Biology - Workshop,5,6,82,Audio,3,8.1,10.0,9.8,8.9,29,1.0
Sustainable Agriculture - Intro,3,6,58,Practical,3,8.2,10.0,10.0,9.5,9,12.8
Marine Biology - Theory,5,5,85,Video,6,8.1,10.0,10.0,8.8,10,10.8
Digital Humanities - Intro,4,9,64,Practical,9,6.3,10.0,9.9,8.8,24,22.8
Phonetics - Lab,5,6,83,Practical,4,8.4,10.0,9.6,8.6,18,18.0
Antimatter - Advanced,7,8,89,Text,4,8.1,10.0,10.0,8.8,30,14.2
3D Animation - Workshop,5,7,83,Video,4,7.8,10.0,10.0,8.9,7,8.1
Cellular Automata - Advanced,4,7,64,Text,9,7.2,10.0,9.2,8.4,9,10.8
Speech Recognition - Theory,8,6,111,Video,5,8.4,10.0,10.0,8.8,10,14.6
Behavioral Economics - Advanced,3,9,66,Video,5,7.3,10.0,10.0,8.7,12,12.6
Sustainable Agriculture - Applications,6,6,94,Practical,8,7.3,10.0,9.3,8.6,23,7.3
Internet of Things - Intro,5,9,86,Practical,5,8.2,10.0,9.7,8.4,14,8.4
Blockchain Security - Lab,9,8,125,Text,8,7.5,10.0,10.0,9.1,24,4.2
Molecular Biology - Intro,9,9,117,Text,10,6.6,10.0,9.9,8.7,22,22.1
Cellular Automata - Applications,4,6,72,Video,8,7.8,10.0,10.0,9.0,27,21.1
Logic Circuits - Advanced,6,8,81,Video,5,7.9,10.0,9.5,8.6,12,15.0
Quantum Entanglement - Lab,6,5,86,Video,8,7.0,10.0,10.0,8.8,30,12.7
Photosynthesis - Theory,7,7,106,Practical,6,7.2,10.0,10.0,9.1,25,7.3
Nanorobotics - Applications,6,6,88,Practical,4,7.8,10.0,10.0,8.7,27,8.3
Nanorobotics - Applications,9,6,110,Video,7,6.9,10.0,10.0,8.6,14,20.9
Antimatter - Applications,8,6,120,Practical,4,8.4,10.0,9.6,8.8,10,21.4
Climate Modeling - Theory,4,8,72,Video,6,7.6,10.0,10.0,9.1,15,4.5
Neural Networks - Concepts,4,5,73,Audio,10,6.7,10.0,10.0,9.1,14,8.6
Computational Linguistics - Lab,5,9,75,Video,9,6.2,10.0,9.9,8.8,27,9.8
Geospatial Analysis - Intro,5,5,81,Text,4,7.9,10.0,10.0,8.6,25,11.9
Logic Circuits - Intro,5,8,81,Practical,8,6.7,10.0,9.1,8.6,7,19.9
Blockchain Security - Lab,9,6,115,Video,5,9.0,10.0,10.0,9.4,27,0.0
Remote Sensing - Concepts,9,7,119,Audio,6,7.6,9.8,9.5,8.5,27,17.3
Speech Recognition - Concepts,9,6,112,Video,7,7.4,10.0,10.0,8.9,10,14.6
Agile Methodologies - Intro,9,9,118,Text,9,6.8,10.0,9.5,8.8,16,11.3
Photosynthesis - Theory,9,7,124,Text,5,8.8,10.0,9.8,8.7,14,17.5
Phonetics - Lab,9,6,116,Video,6,6.9,10.0,9.6,8.8,9,12.7
Internet of Things - Lab,8,7,119,Audio,7,7.4,10.0,9.1,8.2,18,24.1
Speech Recognition - Advanced,9,5,112,Video,10,5.7,10.0,10.0,8.6,15,6.4
Financial Markets - Theory,6,8,88,Audio,4,7.1,10.0,10.0,9.1,9,7.3
Biomechanics - Applications,6,6,86,Audio,3,8.2,10.0,10.0,9.1,10,8.6
Visual Perception - Advanced,7,9,99,Audio,8,7.3,10.0,10.0,9.0,12,0.0
Astrophysics - Lab,8,5,116,Video,8,6.7,10.0,9.6,8.3,15,11.6
Agile Methodologies - Applications,5,6,75,Practical,6,7.9,10.0,9.8,8.8,8,7.9
Cultural Studies - Workshop,3,5,57,Video,4,8.4,10.0,9.4,8.6,8,18.7
Digital Humanities - Intro,9,9,123,Video,8,7.0,10.0,9.7,8.5,24,11.5
Marine Biology - Concepts,7,6,100,Text,7,8.0,10.0,10.0,8.8,27,7.9
Internet of Things - Applications,3,9,60,Video,7,7.1,10.0,10.0,8.7,28,17.1
Compiler Design - Theory,6,7,85,Text,5,8.2,10.0,9.7,8.7,9,4.9
Epidemiology - Theory,7,9,99,Audio,6,6.8,9.8,9.9,8.8,9,1.6
Molecular Biology - Concepts,7,7,105,Text,5,8.0,10.0,9.7,8.5,24,13.2
Immunology - Concepts,4,6,61,Video,6,7.6,10.0,10.0,8.9,12,3.8
Photosynthesis - Theory,6,7,86,Practical,3,8.0,10.0,9.6,8.2,7,11.0
Visual Perception - Advanced,6,6,80,Video,9,7.0,10.0,9.7,8.5,21,17.9
Phonetics - Theory,8,6,112,Text,6,7.3,10.0,9.6,8.0,17,24.4
Mythology - Intro,7,8,106,Text,8,8.0,10.0,9.8,8.5,16,18.9
Mythology - Advanced,9,6,119,Practical,8,5.9,10.0,10.0,9.6,10,9.5
Nanorobotics - Advanced,6,7,84,Text,5,8.1,10.0,10.0,9.1,20,15.2
Financial Markets - Workshop,7,8,95,Video,6,7.7,10.0,10.0,9.5,8,0.0
Speech Recognition - Workshop,8,8,108,Video,8,7.0,10.0,9.9,9.1,19,11.3
Behavioral Economics - Advanced,9,6,118,Audio,5,7.7,10.0,10.0,9.1,22,6.4
Epidemiology - Concepts,8,9,114,Audio,6,7.7,10.0,9.9,8.6,18,10.3
Climate Modeling - Lab,4,9,66,Practical,4,8.8,10.0,10.0,9.1,28,11.8
Evolutionary Biology - Lab,9,8,122,Text,10,5.7,10.0,9.4,8.0,11,11.3
Sustainable Agriculture - Applications,7,6,98,Video,7,7.0,10.0,10.0,9.2,25,0.0
Behavioral Neuroscience - Lab,6,9,86,Video,5,7.5,10.0,10.0,9.1,9,12.2
Climate Modeling - Intro,6,6,88,Text,7,6.9,10.0,9.3,8.7,27,15.4
Epidemiology - Lab,7,6,101,Video,5,8.2,10.0,10.0,8.6,26,14.7
Philosophy of Mind - Lab,7,8,104,Video,3,8.9,10.0,9.9,8.4,27,11.6
Creative Writing - Workshop,7,8,98,Video,8,7.6,10.0,10.0,9.0,8,13.7
Astrophysics - Lab,5,5,73,Audio,8,7.4,10.0,9.5,8.9,23,14.4
Metallurgy - Workshop,9,9,124,Video,10,6.8,10.0,9.9,9.0,27,10.4
Pharmacology - Advanced,6,9,85,Audio,3,7.9,10.0,10.0,8.9,17,5.1
Cultural Studies - Theory,9,9,121,Video,8,7.8,10.0,9.2,8.4,7,13.9
Ancient Civilizations - Concepts,8,7,109,Video,6,7.6,10.0,10.0,8.3,25,21.2
Evolutionary Biology - Advanced,6,6,89,Video,6,8.2,10.0,9.7,8.2,14,24.6
Antimatter - Theory,5,8,77,Text,4,7.6,10.0,10.0,9.5,17,3.4
Mythology - Lab,7,9,103,Text,7,7.3,10.0,10.0,9.3,14,5.8
Molecular Biology - Lab,4,5,52,Video,1,9.0,10.0,10.0,8.9,23,10.2
Political Philosophy - Applications,7,9,105,Practical,8,7.1,10.0,10.0,9.3,26,8.4
Epidemiology - Advanced,7,6,95,Audio,3,8.2,9.7,10.0,8.9,12,8.1
Forensic Science - Concepts,5,6,82,Text,6,8.4,10.0,9.5,8.5,13,0.5
Mythology - Theory,9,8,121,Practical,6,7.1,10.0,10.0,9.0,27,16.0
Bioinformatics - Lab,6,7,96,Audio,1,9.0,10.0,10.0,8.7,19,22.0
Syntax and Semantics - Concepts,7,8,100,Audio,9,7.1,10.0,10.0,8.5,13,11.9
Biomechanics - Workshop,6,9,85,Practical,8,8.1,10.0,10.0,8.9,17,5.7
Urban Planning - Lab,3,5,51,Video,6,7.5,10.0,9.5,8.9,16,10.3
Moral Philosophy - Workshop,8,8,108,Text,3,8.5,10.0,10.0,9.0,14,9.1
Astrophysics - Intro,9,7,110,Video,6,7.5,10.0,10.0,9.2,16,13.0
Syntax and Semantics - Lab,6,8,86,Video,7,7.5,10.0,9.2,7.6,28,24.3
Ethical Hacking - Workshop,4,6,68,Video,6,8.0,10.0,10.0,8.8,17,8.0
Neural Networks - Advanced,8,9,106,Video,5,8.5,10.0,10.0,8.9,26,4.4
Geospatial Analysis - Concepts,4,9,70,Practical,7,7.8,10.0,9.8,8.6,23,18.3
Quantum Computing - Intro,7,9,98,Practical,6,7.5,10.0,9.9,8.9,17,14.0
Ethical Hacking - Advanced,8,9,108,Practical,4,8.7,10.0,10.0,8.6,22,19.3
Behavioral Neuroscience - Workshop,6,9,77,Practical,5,8.0,10.0,10.0,9.2,11,3.2
Bioinformatics - Advanced,8,9,103,Practical,9,7.2,10.0,9.2,7.9,16,30.2
Forensic Science - Lab,7,5,103,Text,2,9.0,10.0,10.0,8.5,26,6.3
Ancient Civilizations - Advanced,5,7,84,Video,7,8.2,10.0,10.0,9.2,11,11.5
Blockchain Security - Workshop,9,9,110,Video,9,6.6,10.0,9.8,8.7,26,3.5
Visual Perception - Advanced,4,7,65,Practical,4,8.0,10.0,9.8,8.7,15,9.0
Financial Markets - Applications,7,9,105,Video,4,8.5,10.0,10.0,9.3,9,14.8
Logic Circuits - Workshop,5,8,76,Audio,3,9.0,10.0,10.0,9.4,9,10.2
Forensic Science - Applications,8,9,109,Text,7,7.4,10.0,10.0,9.3,16,4.3
Astrophysics - Workshop,8,6,117,Video,4,8.9,10.0,9.9,8.9,13,8.4
Game Development - Lab,7,5,98,Audio,5,8.3,10.0,10.0,8.9,8,11.5
Internet of Things - Lab,6,8,87,Text,8,7.0,10.0,9.8,8.9,14,13.6
Sustainable Agriculture - Lab,8,8,109,Video,7,7.7,10.0,9.7,8.1,18,25.3
Behavioral Economics - Applications,6,6,99,Video,5,7.8,10.0,10.0,8.7,28,10.7
Ethical Hacking - Lab,6,9,92,Video,6,7.8,10.0,10.0,8.9,15,2.9
Epidemiology - Applications,9,5,120,Audio,9,6.3,10.0,10.0,9.1,17,9.8
Compiler Design - Workshop,6,8,87,Video,9,6.8,10.0,9.1,8.1,25,16.7
Behavioral Economics - Workshop,3,5,62,Video,4,8.8,10.0,10.0,8.7,26,6.5
Urban Planning - Applications,9,8,123,Text,8,7.5,10.0,9.6,8.3,29,18.5
Behavioral Economics - Intro,5,9,74,Practical,7,7.7,10.0,10.0,8.7,23,11.9
Financial Markets - Concepts,5,8,83,Video,9,6.9,10.0,10.0,9.1,19,10.5
Political Philosophy - Advanced,8,8,109,Audio,8,7.2,10.0,10.0,9.2,7,3.5
Antimatter - Intro,8,7,110,Audio,10,5.9,10.0,8.9,8.3,7,19.4
Game Development - Workshop,6,9,85,Text,6,7.6,10.0,8.3,7.1,14,22.4
Pharmacology - Theory,9,6,118,Practical,4,8.4,10.0,10.0,9.5,19,0.9
Phonetics - Concepts,9,6,114,Audio,6,7.1,10.0,10.0,9.0,12,8.8
Philosophy of Mind - Applications,3,9,54,Video,4,7.4,10.0,10.0,9.1,9,17.7
Bioinformatics - Lab,6,6,91,Text,9,7.4,10.0,10.0,8.9,22,14.9
Moral Philosophy - Intro,3,9,58,Practical,7,7.4,10.0,10.0,8.7,16,18.4
Artificial Consciousness - Workshop,6,6,83,Practical,4,8.4,10.0,10.0,8.6,13,21.1
Geospatial Analysis - Lab,4,7,80,Text,7,7.7,10.0,10.0,8.8,28,30.0
Cultural Studies - Lab,4,6,64,Video,4,7.8,10.0,9.8,9.0,27,10.2
Immunology - Intro,7,8,105,Practical,10,6.3,10.0,9.7,8.7,9,20.1
Relativity Theory - Lab,6,9,82,Audio,6,8.5,10.0,9.8,9.1,20,14.1
Mythology - Applications,9,5,122,Practical,3,8.4,10.0,10.0,9.2,22,13.0
Internet of Things - Workshop,8,5,108,Video,6,7.6,10.0,10.0,8.9,10,19.9
Digital Marketing - Theory,5,9,76,Audio,6,7.4,10.0,10.0,9.3,19,4.9
Biomechanics - Concepts,7,7,100,Video,4,7.9,10.0,10.0,9.1,7,6.5
Artificial Consciousness - Intro,8,6,110,Text,8,7.7,10.0,10.0,9.3,11,8.6
Ancient Civilizations - Theory,4,7,65,Audio,8,5.9,10.0,10.0,8.8,24,11.1
Forensic Science - Lab,6,5,85,Practical,3,8.4,10.0,10.0,9.1,18,10.6
Photosynthesis - Intro,7,9,92,Video,9,6.9,10.0,10.0,9.7,17,10.8
Sustainable Agriculture - Lab,6,9,91,Video,6,8.5,10.0,9.9,8.4,15,13.6
Pharmacology - Concepts,4,7,63,Audio,5,7.4,10.0,10.0,8.7,13,11.5
Epidemiology - Theory,7,7,100,Video,6,7.0,10.0,10.0,9.6,20,4.9
Photosynthesis - Theory,4,6,72,Practical,4,7.9,10.0,9.6,8.4,30,14.9
Behavioral Neuroscience - Workshop,3,8,61,Practical,6,8.1,10.0,10.0,8.5,9,5.4
Forensic Science - Theory,4,8,66,Text,3,8.7,10.0,9.9,9.0,22,7.1
3D Animation - Workshop,9,6,124,Practical,10,5.8,10.0,10.0,9.0,13,13.4
Photosynthesis - Concepts,9,8,117,Practical,9,6.8,10.0,9.8,8.9,7,18.2
Remote Sensing - Theory,6,5,83,Practical,7,8.2,10.0,10.0,8.8,12,6.2
Computational Linguistics - Intro,5,8,78,Audio,4,8.4,10.0,10.0,8.7,12,7.2
Immunology - Applications,4,6,72,Practical,2,9.0,10.0,10.0,9.4,16,6.2
Mythology - Workshop,8,8,106,Text,10,6.6,10.0,9.7,8.9,18,0.6
Digital Humanities - Workshop,9,9,124,Video,6,7.9,10.0,9.9,8.9,28,8.8
Agile Methodologies - Workshop,5,7,76,Practical,6,7.1,10.0,10.0,8.9,25,2.3
Ancient Civilizations - Concepts,3,5,56,Text,6,7.6,10.0,9.7,8.6,12,20.8
Visual Perception - Theory,7,9,94,Text,7,7.3,10.0,10.0,9.1,20,5.2
Biomechanics - Advanced,7,9,103,Practical,10,6.3,10.0,10.0,9.3,9,15.3
Marine Biology - Workshop,9,6,119,Practical,6,8.0,10.0,10.0,8.7,16,18.6
Marine Biology - Theory,5,7,75,Text,3,8.3,10.0,10.0,9.4,15,2.8
Ancient Civilizations - Advanced,9,7,118,Practical,8,6.9,10.0,9.8,8.9,29,5.6
Logic Circuits - Advanced,7,5,84,Audio,6,7.1,9.4,9.3,8.3,26,16.0
Remote Sensing - Intro,4,6,73,Video,10,6.7,10.0,10.0,8.9,25,10.5
Digital Marketing - Advanced,5,5,79,Practical,3,9.0,10.0,10.0,9.1,28,10.7
Biomechanics - Workshop,6,8,77,Video,6,7.5,10.0,10.0,8.8,21,8.1
Photosynthesis - Intro,4,9,62,Text,5,8.4,10.0,10.0,8.6,15,17.7
Forensic Science - Theory,4,5,67,Video,4,8.2,10.0,10.0,9.2,25,9.3
Creative Writing - Workshop,4,9,63,Video,6,6.4,10.0,10.0,8.9,14,9.3
Sustainable Agriculture - Intro,6,6,93,Video,4,8.3,10.0,9.0,7.9,28,17.4
Behavioral Economics - Lab,3,8,62,Practical,6,7.6,10.0,9.7,8.8,10,11.1
Political Philosophy - Theory,8,6,111,Practical,6,7.8,10.0,10.0,9.6,11,0.0
Metallurgy - Workshop,9,8,106,Video,10,6.6,10.0,10.0,8.9,25,11.3
Nanorobotics - Theory,7,8,97,Practical,6,7.4,10.0,10.0,8.9,20,11.4
Political Philosophy - Advanced,9,9,116,Text,10,7.2,10.0,10.0,8.7,24,14.3
Sustainable Agriculture - Advanced,5,6,75,Text,6,7.7,10.0,10.0,9.1,25,17.8
Compiler Design - Applications,3,6,57,Practical,7,7.3,10.0,9.9,9.1,12,8.3
Immunology - Advanced,5,5,74,Text,5,8.4,10.0,10.0,9.3,11,12.0
Logic Circuits - Intro,9,6,121,Text,5,8.0,10.0,10.0,9.9,17,2.1
Sustainable Agriculture - Theory,7,5,103,Audio,5,9.0,10.0,10.0,9.1,30,7.8
Behavioral Neuroscience - Applications,6,7,93,Video,3,8.5,10.0,9.9,8.1,11,18.4
Digital Marketing - Lab,9,7,119,Practical,7,7.6,10.0,10.0,8.6,14,13.7
Cultural Studies - Lab,4,7,79,Video,5,7.6,10.0,10.0,9.3,11,8.4
Artificial Consciousness - Theory,9,6,125,Text,7,7.8,10.0,10.0,9.2,17,3.2
Neural Networks - Lab,4,6,69,Video,7,7.6,10.0,10.0,9.2,19,0.7
Astrophysics - Applications,6,5,87,Video,5,7.8,10.0,10.0,8.6,12,17.3
Photosynthesis - Concepts,9,8,126,Video,4,7.9,10.0,10.0,8.3,11,21.5
Philosophy of Mind - Theory,3,5,65,Video,10,5.8,10.0,9.0,8.0,24,23.7
Digital Marketing - Intro,3,7,52,Practical,3,8.8,10.0,10.0,8.9,16,11.8
Urban Planning - Applications,5,5,85,Practical,6,7.0,10.0,9.6,8.4,22,19.8
Metallurgy - Lab,6,8,89,Video,3,9.0,10.0,10.0,9.0,28,13.6
Syntax and Semantics - Applications,3,6,55,Video,4,7.7,10.0,9.8,8.7,20,16.9
Urban Planning - Intro,9,5,110,Video,5,7.9,10.0,9.7,8.7,29,8.7
Creative Writing - Concepts,6,7,88,Practical,1,8.8,10.0,9.8,8.7,21,7.5
Logic Circuits - Advanced,7,7,99,Practical,6,7.7,10.0,10.0,9.6,9,2.1
Political Philosophy - Intro,4,6,77,Text,4,8.3,10.0,10.0,9.1,9,8.9
Syntax and Semantics - Concepts,9,5,124,Audio,6,7.9,10.0,10.0,9.4,18,4.8
Mythology - Applications,4,8,67,Video,6,6.9,10.0,10.0,8.8,29,2.6
Sustainable Agriculture - Advanced,4,6,71,Text,4,7.9,10.0,10.0,9.2,21,16.6
Internet of Things - Workshop,6,5,94,Text,5,8.5,10.0,9.8,9.3,17,5.6
Cellular Automata - Theory,6,9,90,Video,7,7.7,10.0,10.0,9.5,16,5.9
Remote Sensing - Lab,5,7,77,Video,5,6.8,10.0,9.9,8.8,26,18.2
Cellular Automata - Applications,4,8,67,Text,5,8.2,10.0,10.0,9.3,21,0.0
Immunology - Advanced,5,8,81,Audio,4,7.8,10.0,10.0,9.0,24,7.4
Philosophy of Mind - Intro,4,8,72,Video,7,7.1,10.0,10.0,8.5,20,13.1
Quantum Computing - Workshop,5,7,78,Video,5,7.9,10.0,10.0,8.9,12,9.3
Cultural Studies - Concepts,5,5,66,Video,4,9.0,10.0,9.9,9.1,20,8.1
Computational Linguistics - Concepts,7,6,93,Text,7,6.9,10.0,10.0,9.4,22,13.2
Astrophysics - Lab,5,5,83,Video,5,7.3,10.0,9.0,7.9,8,24.4
Cultural Studies - Concepts,6,6,79,Text,4,8.5,10.0,10.0,9.0,25,14.8
Cellular Automata - Lab,5,8,85,Video,9,6.8,10.0,9.8,8.6,11,14.2
Bioinformatics - Applications,4,5,75,Text,2,9.0,10.0,10.0,9.7,17,0.0
UX Design - Concepts,5,8,80,Video,4,8.1,10.0,10.0,8.7,17,2.6
Marine Biology - Theory,3,9,62,Text,7,8.0,10.0,10.0,9.5,27,0.0
Syntax and Semantics - Applications,8,8,112,Audio,10,6.5,10.0,9.5,8.6,25,15.8
Biomechanics - Intro,4,8,69,Practical,4,8.6,10.0,9.8,8.4,24,16.2
Logic Circuits - Workshop,3,6,53,Text,5,8.8,10.0,10.0,9.7,14,1.9
Photosynthesis - Workshop,4,9,74,Video,4,8.2,10.0,10.0,9.0,29,8.2
Agile Methodologies - Advanced,6,8,97,Text,5,8.5,10.0,10.0,9.1,18,19.1
Computational Linguistics - Applications,8,8,103,Video,10,6.2,10.0,9.9,8.9,15,6.9
Astrophysics - Applications,8,9,102,Video,9,6.9,10.0,9.7,8.6,9,18.6
Educational Psychology - Intro,6,9,89,Video,9,6.1,10.0,10.0,9.0,12,10.0
Evolutionary Biology - Lab,8,5,106,Video,8,6.8,10.0,9.9,9.3,27,6.7
Forensic Science - Lab,6,6,90,Practical,1,8.7,10.0,10.0,9.0,27,15.9
Quantum Computing - Lab,3,9,66,Video,3,9.0,10.0,9.7,8.7,30,20.3
Digital Marketing - Advanced,7,9,88,Video,8,8.0,10.0,9.9,8.9,7,9.8
Ethical Hacking - Advanced,4,7,77,Video,2,8.7,10.0,10.0,8.4,23,20.0
Ancient Civilizations - Theory,6,9,87,Practical,5,7.6,10.0,10.0,8.6,9,15.8
Bioinformatics - Advanced,4,6,72,Practical,7,6.7,10.0,9.7,8.2,24,18.0
Remote Sensing - Advanced,3,8,63,Video,4,8.4,10.0,9.9,8.8,24,13.0
Artificial Consciousness - Applications,7,8,103,Practical,8,6.8,10.0,10.0,8.5,8,11.6
Political Philosophy - Workshop,3,8,60,Video,5,7.7,10.0,10.0,9.3,10,5.5
Astrophysics - Workshop,8,8,111,Practical,6,8.5,10.0,9.5,8.6,7,11.1
Molecular Biology - Intro,4,7,71,Practical,2,8.8,10.0,9.8,9.0,16,14.5
Neural Networks - Concepts,9,9,116,Text,9,7.1,10.0,9.9,9.0,11,9.5
Syntax and Semantics - Workshop,7,8,91,Audio,10,6.5,10.0,9.7,8.7,11,6.5
Digital Humanities - Advanced,8,5,103,Video,5,7.3,10.0,9.7,8.6,15,10.4
Financial Markets - Applications,7,8,99,Video,7,6.5,10.0,10.0,8.9,20,0.0
Ethical Hacking - Concepts,8,9,106,Video,5,8.2,10.0,9.9,8.4,27,13.5
Digital Marketing - Lab,3,8,56,Audio,4,9.0,10.0,10.0,9.5,19,5.2
Quantum Computing - Workshop,6,7,98,Text,7,7.6,10.0,9.6,9.0,19,9.3
Political Philosophy - Workshop,4,6,74,Text,6,8.0,10.0,10.0,9.7,30,12.9
Logic Circuits - Intro,5,6,78,Audio,6,7.2,10.0,10.0,9.3,7,9.9
Sustainable Agriculture - Concepts,5,9,83,Text,2,9.0,10.0,10.0,9.1,23,11.7
Marine Biology - Intro,3,6,57,Text,3,9.0,10.0,10.0,9.2,26,0.0
Forensic Science - Applications,4,6,70,Text,3,8.3,10.0,10.0,9.3,14,5.2
Bioinformatics - Workshop,4,5,72,Video,3,8.9,10.0,9.9,8.9,9,8.6
Blockchain Security - Lab,3,9,57,Video,5,7.1,10.0,9.5,8.6,23,10.1
Political Philosophy - Concepts,4,9,66,Text,8,7.5,10.0,10.0,9.3,18,3.0
Antimatter - Lab,6,6,96,Practical,6,7.4,10.0,10.0,9.0,24,1.0
UX Design - Advanced,3,6,63,Audio,7,6.8,10.0,9.3,8.5,20,8.6
Evolutionary Biology - Theory,6,6,78,Video,4,8.5,10.0,10.0,8.7,17,17.4
Quantum Entanglement - Lab,4,7,66,Video,2,8.0,10.0,10.0,9.0,22,9.3
Astrophysics - Intro,3,8,56,Video,8,7.3,10.0,10.0,9.1,10,6.5
Behavioral Neuroscience - Concepts,4,7,66,Audio,6,7.1,10.0,10.0,8.9,24,11.0
Educational Psychology - Concepts,3,9,64,Text,4,7.6,10.0,10.0,9.6,13,9.8
Antimatter - Advanced,4,5,70,Text,5,8.0,10.0,10.0,8.6,17,14.0
Game Development - Advanced,6,8,83,Practical,8,7.0,10.0,10.0,8.8,22,14.7
Evolutionary Biology - Advanced,9,5,118,Video,7,8.1,10.0,10.0,9.2,22,3.8
Remote Sensing - Theory,6,9,92,Video,6,7.1,10.0,9.4,8.7,9,9.9
Quantum Entanglement - Lab,4,9,68,Practical,5,8.7,10.0,10.0,9.3,29,8.8
Speech Recognition - Workshop,3,5,56,Audio,4,7.7,10.0,10.0,9.4,30,15.5
Quantum Entanglement - Intro,5,5,81,Video,5,8.5,10.0,9.3,8.8,15,19.1
Astrophysics - Lab,6,5,98,Audio,7,8.0,10.0,9.8,9.2,14,10.9
Bioinformatics - Workshop,6,9,92,Text,6,7.9,10.0,8.7,8.5,13,15.8
Bioinformatics - Intro,8,6,116,Audio,5,7.6,10.0,10.0,9.1,23,16.0
Moral Philosophy - Advanced,5,5,77,Video,10,5.7,10.0,9.7,8.7,17,17.0
Molecular Biology - Advanced,4,8,69,Practical,6,6.7,10.0,9.8,8.4,10,4.5
Mythology - Workshop,9,9,119,Practical,10,7.4,10.0,9.9,8.6,10,8.7
Cellular Automata - Intro,3,7,60,Practical,6,7.6,10.0,10.0,9.2,11,9.7
Sustainable Agriculture - Applications,8,7,112,Practical,7,6.8,10.0,9.4,8.5,14,6.1
Philosophy of Mind - Lab,4,8,65,Video,5,7.4,10.0,9.9,8.6,16,9.5
Blockchain Security - Concepts,7,6,103,Video,1,9.0,10.0,10.0,9.1,23,5.5
Blockchain Security - Workshop,9,5,111,Video,4,8.1,10.0,10.0,8.9,12,9.7
Quantum Computing - Lab,6,9,83,Audio,8,6.1,10.0,10.0,9.2,15,6.6
Visual Perception - Concepts,7,5,110,Practical,1,9.0,10.0,10.0,9.0,16,8.6
Cultural Studies - Intro,6,9,87,Text,7,7.6,10.0,9.6,8.6,14,18.1
Agile Methodologies - Advanced,6,7,93,Practical,7,8.3,10.0,10.0,9.1,21,7.7
Evolutionary Biology - Applications,7,5,108,Practical,7,8.0,10.0,10.0,8.7,24,11.1
Urban Planning - Applications,9,8,108,Practical,9,5.3,10.0,10.0,9.3,29,0.3
Epidemiology - Intro,7,6,105,Practical,8,7.8,10.0,9.6,8.6,11,19.1
Climate Modeling - Workshop,4,8,73,Video,9,7.4,10.0,9.3,7.8,24,18.6
Forensic Science - Theory,8,6,118,Text,9,6.4,10.0,9.9,8.8,7,6.6
Forensic Science - Workshop,8,5,104,Text,6,7.5,10.0,9.3,8.5,8,16.1
Mythology - Intro,7,5,107,Video,5,8.2,10.0,10.0,8.9,16,7.2
Digital Humanities - Theory,4,6,66,Audio,5,7.5,10.0,10.0,8.3,12,14.4
Ethical Hacking - Advanced,8,7,115,Practical,6,7.6,10.0,9.7,8.7,30,14.3
Quantum Entanglement - Advanced,4,9,69,Practical,8,7.6,10.0,10.0,8.8,25,10.4
UX Design - Intro,4,8,73,Audio,7,7.7,10.0,10.0,9.0,27,21.6
Philosophy of Mind - Lab,6,8,90,Text,6,7.4,10.0,10.0,8.9,17,10.6
Cultural Studies - Workshop,8,8,100,Text,10,7.0,10.0,10.0,9.0,24,13.1
Forensic Science - Intro,8,5,94,Text,5,8.2,10.0,10.0,9.3,22,0.0
Remote Sensing - Advanced,6,8,91,Video,5,8.1,10.0,10.0,8.9,14,6.7
Epidemiology - Theory,7,9,98,Video,7,7.1,10.0,9.8,9.2,10,2.6
